Year,Invertebrates_PS,Pacific_Herring_PS,Small_Planktivorous_Fish_PS,Chinook_Hatch_Adult_PS,Chinook_Wild_Adult_PS,Coho_Hatch_Adult_PS,Coho_Wild_Adult_PS,Chum_Adult_PS,Sockeye_Adult_PS,Chinook_Hatch_Resident_PS,Chinook_Wild_Resident_PS,Coho_Hatch_Resident_PS,Coho_Wild_Resident_PS,Hake_PS,Lingcod_PS,Rockfish_PS,Other_fish_PS,Halibut_PS,SOG_bottom_trawl,SOG_hook_and_line,SOG_midwater_trawl,SOG_herring,SOG_commercial,SOG_recreational,SOG_salmon,SOG_recreational_salmon,Seal_mort,Pinniped_bycatch,Cetacean_bycatch,Incidental,Other_fish
1986,0.396070332,2.500713998,0.098023303,1.443866573,1.443866573,3.905937219,3.105019814,1.461519339,13.67564056,1.443866573,1.443866573,4.414206544,4.414206544,1.983337686,3.143665678,7.090638391,1.536596464,0.954868215,0.858715246,0.955332849,0.778416872,5.613414323,1.28331992,4.929528754,8.805868047,4.589520798,0,0,0,0,1.536596464
1987,0.151437622,2.501167121,0.096973213,1.269513434,1.269513434,3.905937219,3.905937219,1.515689034,9.300336137,1.269513434,1.269513434,5.552819199,5.552819199,3.328750406,2.362609675,11.01679434,1.393351322,0.700458652,0.88368544,1.168670248,0.4045467,11.47248286,1.137704712,4.400208014,6.644334945,4.589520798,0,0,0,0,1.393351322
1988,0.226471816,3.82949162,0.112165456,1.187335238,1.187335238,2.938603181,2.938603181,1.856894965,8.485743755,1.187335238,1.187335238,4.177622744,4.177622744,2.309564861,2.062309543,9.495482875,1.458740939,0.584536585,0.831799323,1.125903078,1.113941386,9.746438766,1.287211287,5.617828363,7.287932743,5.087341784,0,0,0,0,1.458740939
1989,0.164991982,3.130672466,0.067243423,1.201806084,1.201806084,2.204141428,2.204141428,1.094477755,4.786781174,1.201806084,1.201806084,3.133485807,3.133485807,2.169549906,1.923272892,9.339897981,1.155588181,0.508372673,0.98291764,0.832115547,1.274993153,13.59717635,1.305101398,5.10174952,6.730903481,4.672984751,0,0,0,0,1.155588181
1990,0.099370242,3.339961037,0.04349832,1.359618118,1.359618118,2.571496066,2.571496066,1.480839556,3.479971165,1.359618118,1.359618118,3.655730219,3.655730219,0.891655179,1.63586036,6.303136639,0.831510649,0.35397162,1.030263723,0.953937183,1.76965215,9.953305474,1.28340476,4.441481131,7.611024762,4.330802475,0,0,0,0,0.831510649
1991,0.370442465,3.217905436,0.051367893,0.805942715,0.805942715,1.338219478,1.338219479,1.112531812,3.720796897,0.805942715,0.805942715,1.902460381,1.902460381,1.271492472,0.962904049,6.23893163,0.823414266,0.333301012,0.938165864,1.200770548,1.738975623,7.358852174,1.139169631,3.825259384,7.188291935,3.572360493,0,0,0,0,0.823414266
1992,0.202596138,3.401895022,0.045898637,0.691986572,0.691986572,1.136753493,1.136753493,1.687794256,3.53507957,0.691986572,0.691986572,1.616049175,1.616049175,1.283132274,0.573474573,3.656940408,0.915334525,0.345098916,0.918384282,0.882558876,1.600931252,6.145665125,1.184033481,3.876721827,7.124012094,3.599876779,0,0,0,0,0.915334525
1993,0.741041005,2.777142496,0.11917562,0.636904203,0.636904203,0.823084222,0.823084222,1.29260104,3.130766271,0.636904203,0.636904203,1.170125788,1.170125788,0.534792417,0.698383087,7.853056237,0.962166738,0.317352037,1.090094902,0.864614609,1.919200219,5.583246262,1.059204286,4.21124462,6.853444276,4.159715867,0,0,0,0,0.962166738
1994,0.255437677,2.04098492,0.175861234,0.646389711,0.646389711,1.156250761,1.156250761,1.80824427,5.920196631,0.646389711,0.646389711,1.643767184,1.643767184,0.873365113,0.447873256,5.237840857,0.816681568,0.347916537,1.178949878,0.921537812,1.556833744,5.098402414,0.799206621,3.726875301,6.490994373,3.723251579,0,0,0,0,0.816681568
1995,0.59101435,2.068305644,0.149516391,0.611072681,0.611072681,0.80213341,0.802133411,0.881955937,6.895159304,0.611072681,0.611072681,1.14034137,1.14034137,0.975714249,0.531705858,4.910689757,0.861494556,0.232192995,1.304935858,1.141355085,2.764102018,3.852664837,0.876621084,2.736675658,4.93214944,2.666814652,0,0,0,0,0.861494556
1996,0.587507586,1.941349395,0.119485508,0.581987674,0.581987674,0.401806521,0.401806521,0.816821895,7.972090533,0.581987674,0.581987674,0.571222433,0.571222433,0.858850382,0.505263413,4.351994581,0.816641762,0.238657507,1.133387381,1.143861614,3.480392157,3.677481634,0.809619424,2.441514954,5.32171027,2.540105644,0,0,0,0,0.816641762
1997,0.268693067,1.648414705,0.103358212,0.611993298,0.611993299,0.515308675,0.515308675,0.48359171,3.732359333,0.611993298,0.611993299,0.73258113,0.73258113,0.998849327,0.422320172,3.097869459,0.57371768,0.329167875,0.945948782,2.295262448,3.549019608,3.875800909,0.915483857,2.272913302,4.989271019,2.260004893,0,0,0,0,0.57371768
1998,0.312243366,1.49004057,0.103898496,0.517047868,0.517047868,0.537326681,0.537326681,0.929263074,12.45748766,0.517047868,0.517047868,0.76388271,0.76388271,0.438460642,0.155116036,2.864814236,0.941722177,0.370840593,1.199716714,4.785949804,1.995098039,2.951025224,0.864635898,1.340754771,4.656831767,1.331246432,0,0,0,0,0.941722177
1999,0.30952478,1.589190824,0.086328452,0.581773816,0.581773816,0.297863134,0.297863134,0.345439124,3.527047008,0.581773816,0.581773816,0.42345282,0.42345282,0.551879204,0.128792328,3.220780538,0.72501677,0.523656672,1.364494806,2.792643363,2.044117647,2.961463437,0.856904067,1.39972603,4.324392516,1.366726767,0,0,0,0,0.72501677
2000,0.219402029,1.144658557,0.159064509,0.570868135,0.570868135,0.956465269,0.956465269,0.387453791,5.673965429,0.570868135,0.570868135,1.359745026,1.359745026,0.1000763,0.317994013,1.651656753,0.990479072,0.389604551,1.304060434,1.034215988,0.75,3.20740287,0.82435911,1.443874143,3.991953264,1.341566172,0,0,0,0,0.990479072
2001,0.289704331,1.680054488,0.120804036,0.96207797,0.96207797,1.428948283,1.428948283,1.839644324,20.97820755,0.96207797,0.96207797,2.031443675,2.031443675,0.073031395,0.537933026,2.05672162,1.022551167,0.549490084,1.269121813,0.91834769,2.274509804,2.72321349,0.780762217,1.421398432,3.659514013,1.627728298,0,0,0,0,1.022551167
