species,w_inf,l_inf,w_max,l_max,w_min,w_mat25,w_mat,k_vb,beta,sigma,biomass_cutoff,biomass_observed,a,b,age_mat,max_age,t0,resilience,interaction_resource,pred_kernel_type,yield_observed,h,gamma,erepro,R_max,number_observed,ks,z0,n,p,m,alpha,q,Code
Invertebrates,146.3870352,18,146,18,0.05,28.12,3.66E+01,0.5,632,3.2,68.87133275,45458680000,0.0188,3.1,2,5,0,high,1,lognormal,13334320325,16.6,1.74E-11,0.036327163,33963493866,NA,1.986707513,0.172494637,0.75,0.75,1,0.6,0.8,INV
Pacific_Herring,404.7074447,30,404.7074447,30,0.977,,,0.411,190,2,154.9802518,1.24792E+11,0.01,3.119,3,7,0,medium,1,lognormal,86231182170,,,8.40E-02,1.2419E+14,NA,1.451560703,0.133772225,0.75,0.75,1,0.6,0.8,HEC
Small_Planktivorous_Fish,387.2189677,30,387,30,0.550063273,73.72,97,0.43,220,1.68,210.4984533,3.34322E+11,0.017,2.95,2,7.333,0,medium,1,lognormal,2.31016E+11,19,2.76E-11,0.029975376,1.03091E+13,NA,2.275510182,0.13525773,0.75,0.75,1,0.6,0.8,FPS
Chinook_Hatch_Adult,12551.10426,95.2,12551,101.3,7423.045573,8113.92,8452,0.98,214,2,9666,1533897570,0.013,3,0.5,1,0.5,medium,1,lognormal,39736639.66,9.1,1.38E-11,0.963776812,276720.4954,NA,1.093531448,0.055649123,0.75,0.75,1,0.6,0.8,"CHY, CHS"
Chinook_Wild_Adult,12551.10426,95.2,12551,101.3,7423.045573,8113.92,8452,0.98,214,2,8377.822953,1207642280,0.013,2.984,0.5,1,0.5,medium,1,lognormal,31284778.76,15.2,2.94E-11,0.907795243,25894.31361,NA,1.75,0.056686647,0.75,0.75,1,0.6,0.8,"CSY, CSN, CSS, CDS, CNY, CNS, CYE, CKS, CHC"
Coho_Hatch_Adult,4313.752759,80,4313.752759,80,2233.548,2531.096205,2825.01513,0.98,100,2,2531.096205,554290892,0.004,3.17,0.5,1,0.5,medium,1,lognormal,9201228.807,13.86141439,2.35E-11,0.310742796,1104959.109,NA,1.663369727,0.074035061,0.75,0.75,1,0.6,0.8,COH
Coho_Wild_Adult,4313.752759,80,4313.752759,80,2233.548,2531.096205,2825.01513,0.98,100,2,2531.096205,958399600,0.004,3.17,0.5,1,0.5,medium,1,lognormal,15909433.36,13.86141439,2.35E-11,0.27697059,2861297.448,NA,1.663369727,0.074035061,0.75,0.75,1,0.6,0.8,"COS, COD, COY"
Chum_Adult,6426.670194,108,6426.670194,108,4000,4617,5000,0.98,177,2,3212.875526,20508520400,0.002,3.2,0.5,1,0.5,medium,1,lognormal,246102244.8,15.2,2.54E-11,0.279905065,2752858.231,NA,1.825027459,0.067012334,0.75,0.75,1,0.6,0.8,"CMH, CMS, CMF"
Sockeye_Adult,6888.808,74,6888.808,74,4000,4314.06,5000,0.98,177,2,3672,71500000000,0.017,3,0.5,1,0.5,medium,1,lognormal,26169000000,15.2,2.54E-11,0.365428732,87932413.86,NA,,0.065859015,0.75,0.75,1,0.6,0.8,SAL
Chinook_Hatch_Resident,13513.61956,101.3,13513.61956,101.3,111.0160515,1216.22576,,0.98,346,2,111.0160515,2585437994,0.013,3,3,5,0.5,medium,1,lognormal,66977495.72,55,9.62E-11,0.647947615,1440.978099,NA,6.57528039,0.055649123,0.75,0.75,1,0.6,0.8,"CHY, CHS"
